SALE TYPE	HOME TYPE	ADDRESS	CITY	STATE	ZIP	BEDS
Past Sale	Single Family Residential	905 SUNNYBRAE Blvd	San Mateo	CA	94402	3
Past Sale	Condo/Coop	10 9TH Ave #101	San Mateo	CA	94401	2
Past Sale	Condo/Coop	425 N El Camino Real Apt 308	San Mateo	CA	94401	2
Past Sale	Condo/Coop	3106 Admiralty Ln	Foster City	CA	94404	1
Past Sale	Townhouse	1216 Beacon Ave #1	San Mateo	CA	94401	3
Past Sale	Single Family Residential	1757 Van Buren St	San Mateo	CA	94403	3
Past Sale	Condo/Coop	3201 Admiralty Ln	Foster City	CA	94404	2
Past Sale	Condo/Coop	10 CRYSTAL SPRINGS Rd #1404	San Mateo	CA	94402	2
Past Sale	Condo/Coop	1091 Shell Blvd Apt 12	Foster City	CA	94404	2
Past Sale	Townhouse	2001 ALAMEDA DE LAS PULGAS #181	San Mateo	CA	94403	3
Past Sale	Townhouse	1367 Wayne Way	San Mateo	CA	94403	3
Past Sale	Townhouse	1221 Wayne Way #6006	San Mateo	CA	94403	2
Past Sale	Condo/Coop	55 W 20TH Ave #206	San Mateo	CA	94403	2
Past Sale	Condo/Coop	3125 Los Prados St Apt 4	San Mateo	CA	94403	1
Past Sale	Condo/Coop	1637 Via Laguna #2	San Mateo	CA	94404	1
Past Sale	Single Family Residential	503 BERMUDA Dr	San Mateo	CA	94403	3
Past Sale	Single Family Residential	989 De Soto Ln	Foster City	CA	94404	4
Past Sale	Condo/Coop	1951 OFARRELL St #121	San Mateo	CA	94403	2
Past Sale	Condo/Coop	24 Mounds Rd Apt B	San Mateo	CA	94402	3
Past Sale	Condo/Coop	217 8th Ave Apt 102	San Mateo	CA	94401	2
Past Sale	Single Family Residential	1911 Beach Park Blvd	Foster City	CA	94404	5
Past Sale	Single Family Residential	1614 S Grant St	San Mateo	CA	94402	3
Past Sale	Townhouse	1515 Day Ave Unit F	San Mateo	CA	94403	3
Past Sale	Single Family Residential	1005 WOODLAND Dr	Hillsborough	CA	94010	3
Past Sale	Condo/Coop	838 BALBOA Ln	Foster City	CA	94404	2
Past Sale	Condo/Coop	30 MOUNDS Rd #202	San Mateo	CA	94402	2
Past Sale	Townhouse	1705 PALM Ave #9	San Mateo	CA	94402	2
Past Sale	Single Family Residential	1823 Bahia St	San Mateo	CA	94403	3
Past Sale	Condo/Coop	651 Port Dr Apt 102	San Mateo	CA	94404	2
Past Sale	Single Family Residential	978 E Grant Pl	San Mateo	CA	94402	3
Past Sale	Single Family Residential	31 Avila Rd	San Mateo	CA	94402	3
Past Sale	Condo/Coop	710 Mariners Island Blvd Apt 210	San Mateo	CA	94404	2
Past Sale	Single Family Residential	848 Arcturus Cir	Foster City	CA	94404	5
Past Sale	Condo/Coop	1067 Shell Blvd Apt 8	Foster City	CA	94404	3
Past Sale	Single Family Residential	659 Joanne Dr	San Mateo	CA	94402	3
Past Sale	Condo/Coop	2216 ADMIRALTY Ln	Foster City	CA	94404	3
Past Sale	Single Family Residential	978 SHOAL Dr	San Mateo	CA	94404	3
Past Sale	Single Family Residential	147 Flying Cloud Isle	Foster City	CA	94404	3
Past Sale	Single Family Residential	25 Ericson Rd	San Mateo	CA	94402	3
Past Sale	Single Family Residential	820 Vespucci Ln	Foster City	CA	94404	4
Past Sale	Single Family Residential	442 HURLINGHAM Ave	San Mateo	CA	94402	3
Past Sale	Condo/Coop	1 Baldwin Ave Apt 409	San Mateo	CA	94401	2
Past Sale	Single Family Residential	911 E 5th Ave	San Mateo	CA	94402	3
Past Sale	Single Family Residential	959 DE LEON Ln	Foster City	CA	94404	4
Past Sale	Condo/Coop	1041 Shell Blvd Apt 3	Foster City	CA	94404	2
Past Sale	Single Family Residential	1541 Church Ave	San Mateo	CA	94401	3
Past Sale	Single Family Residential	1520 Dix St	San Mateo	CA	94401	3
Past Sale	Condo/Coop	1017 Shell Blvd Apt 4	Foster City	CA	94404	3
Past Sale	Single Family Residential	161 GRAMERCY Dr	San Mateo	CA	94402	4
Past Sale	Single Family Residential	405 Severn Ln	Hillsborough	CA	94010	4
Past Sale	Single Family Residential	1014 Haddon Dr	San Mateo	CA	94402	3
Past Sale	Condo/Coop	1951 Ofarrell St Apt 313	San Mateo	CA	94403	2
Past Sale	Single Family Residential	2054 Harrison Ave	San Mateo	CA	94403	3
Past Sale	Single Family Residential	115 ERICSON Rd	Hillsborough	CA	94010	4
Past Sale	Townhouse	5211 Admiralty Ln	Foster City	CA	94404	2
Past Sale	Condo/Coop	1 Baldwin Ave Apt 615	San Mateo	CA	94401	1
Past Sale	Condo/Coop	1919 Alameda De Las Pulgas Apt 101	San Mateo	CA	94403	2
Past Sale	Condo/Coop	927 SHORELINE Dr	San Mateo	CA	94404	3
Past Sale	Condo/Coop	1951 Ofarrell St Apt 311	San Mateo	CA	94403	2
Past Sale	Single Family Residential	1786 S Norfolk St	San Mateo	CA	94403	3
Past Sale	Condo/Coop	320 Elm St Apt 106	San Mateo	CA	94401	2
Past Sale	Condo/Coop	4140 George Ave Apt 8	San Mateo	CA	94403	2
Past Sale	Single Family Residential	1733 Pierce St	San Mateo	CA	94403	3
Past Sale	Single Family Residential	1626 Borden St	San Mateo	CA	94403	4
Past Sale	Townhouse	1103 S Hummingbird Ln #50 (Unable to map)	San Mateo	CA	94402	2
Past Sale	Condo/Coop	1595 Lago St #1	San Mateo	CA	94403	2
Past Sale	Condo/Coop	814 N DELAWARE St #411	San Mateo	CA	94401	0
Past Sale	Condo/Coop	601 Laurel Ave Apt 202	San Mateo	CA	94401	2
Past Sale	Single Family Residential	831 Peary Ln	Foster City	CA	94404	3
Past Sale	Condo/Coop	844 Balboa Ln #64	Foster City	CA	94404	2
Past Sale	Single Family Residential	732 E 16th Ave	San Mateo	CA	94402	2
Past Sale	Condo/Coop	58 N El Camino Real Apt 306	San Mateo	CA	94401	1
Past Sale	Condo/Coop	218 Tilton Ave #205	San Mateo	CA	94401	2
Past Sale	Single Family Residential	426 Highland Ave	San Mateo	CA	94401	2
Past Sale	Single Family Residential	307 Engle Rd	San Mateo	CA	94402	2
Past Sale	Single Family Residential	1841 ROYAL Ave	San Mateo	CA	94401	3
Past Sale	Single Family Residential	1701 CELESTE Dr	San Mateo	CA	94402	4
Past Sale	Single Family Residential	927 S Delaware St	San Mateo	CA	94402	1
Past Sale	Condo/Coop	55 W 20th Ave Apt 210	San Mateo	CA	94403	2
Past Sale	Single Family Residential	920 LAGUNA Cir	Foster City	CA	94404	3
Past Sale	Condo/Coop	425 N EL CAMINO REAL #410	San Mateo	CA	94401	2
Past Sale	Condo/Coop	3001 LOS PRADOS St #104	San Mateo	CA	94403	2
Past Sale	Condo/Coop	465 FATHOM Dr #210	San Mateo	CA	94404	1
Past Sale	Townhouse	828 PEARY Ln	Foster City	CA	94404	3
Past Sale	Single Family Residential	903 Tournament Dr	Hillsborough	CA	94010	4
Past Sale	Single Family Residential	1785 Van Buren St	San Mateo	CA	94403	3
